state_name,Total_Exp,Total_Individuals_Worked,Total_Households_Worked,Average_days_of_employment_provided_per_Household,Women_Persondays,Number_of_Completed_Works,Total_No_of_Works_Takenup,Women_Share,Work_Completion_Rate,Expenditure_per_Person
ANDAMAN AND NICOBAR,44573.9239853,483507,417946,20.65019011406844,5321205,41257,228392,1100.543528842395,18.06411783249851,0.09218878730876699
ANDHRA PRADESH,165791696.14430222,1874618305,1191226767,38.40513703164306,29307612506,54678873,304443253,1563.3909275200426,17.960284046761252,0.0884402417826077
ARUNACHAL PRADESH,6096261.410086993,44276222,43494247,27.654352135519915,896794516,432930,2538056,2025.4540145724268,17.057543253576753,0.13768702781567482
ASSAM,26514767.92842198,416782488,308835018,24.75806967082135,4854543971,100665378,239734812,1164.7667814200486,41.990304687164084,0.06361775912336792
BIHAR,111679730.11035629,944067300,862612819,34.30264778325123,17784646934,48937204,263802797,1883.832533337401,18.550676701126864,0.11829636521713684
CHHATTISGARH,65869785.86212255,923552617,547303070,36.54475112599607,11565336256,53530182,137735538,1252.2660910829297,38.86446648213622,0.07132217986246316
DN HAVELI AND DD,98637.7275776,1333623,594765,44.50413223140496,14881669,148180,538059,1115.882749472677,27.539730773019315,0.07396222738929968
GOA,34352.2151752,366043,352251,16.182648401826484,5143199,41662,215577,1405.080550645689,19.32580933958632,0.09384748561016056
GUJARAT,25530827.82451777,243301025,170185760,34.698392937980984,3202303286,45077653,112183001,1316.189804790177,40.18224918051533,0.10493514289353188
HARYANA,9468168.267776884,79073719,58597768,22.81134075251722,900837955,3413868,10387784,1139.2381266397751,32.86425670768664,0.11973849703182525
HIMACHAL PRADESH,26262401.904575817,201952096,146625513,33.869209039548025,3730899150,27241803,76508277,1847.4178896365602,35.60634753282969,0.13004273005701222
JAMMU AND KASHMIR,14787206.483287737,130209365,93132434,33.53252788104089,1247156000,25714468,94330242,957.8082190939185,27.260046677289345,0.11356484599466203
JHARKHAND,43936697.4515258,416056386,369079851,32.42660984848485,6356865794,46433925,259851751,1527.8856443270647,17.869390843550637,0.10560274743992465
KARNATAKA,91445503.11562276,1013832128,578086190,31.551757693711227,10760636741,130358286,328982287,1061.3824955643938,39.62471268247947,0.0901978745692529
KERALA,44841986.87938831,296035821,269303222,31.925571504518874,9064341962,35340283,99566877,3061.9071473786275,35.494015745818764,0.1514748678991395
LADAKH,713325.8075789,5497014,5014364,35.09245283018868,150787344,1476838,2568369,2743.0773143382935,57.501005501935275,0.1297660525476013
LAKSHADWEEP,8.91324,0,0,0.0,0,46,7708,0.0,0.5967825635703166,0.0
MADHYA PRADESH,84788507.21053836,907706244,629925592,33.18689436060365,9950992440,54181128,206754404,1096.278945504312,26.20554965300763,0.09340963309550436
MAHARASHTRA,80904867.53887086,894069172,541717647,33.3892551087673,9824355744,49458746,324683016,1098.8362032462517,15.232932910787056,0.09049061311205892
MANIPUR,9134925.170511458,83777109,79994805,21.035564336873303,1252149952,1199453,7337133,1494.6206272169168,16.347706931304092,0.10903843877581713
MEGHALAYA,20839967.58510301,76843419,68307104,32.51776198934281,1768687173,6537252,36377119,2301.676833249702,17.970779928998777,0.2712004210159234
MIZORAM,7996499.1074787155,50234917,49909557,47.969741159314616,1244614989,3340208,4478213,2477.5894205219847,74.58796622670695,0.1591820905661836
NAGALAND,3140190.763135837,28415227,27899209,18.700324412003244,375032166,332912,1995521,1319.8281541090628,16.68296149226192,0.11051084558064016
ODISHA,65988322.95551639,543795529,385642312,31.86928186489535,7225861358,94180256,334706247,1328.7827818827102,28.13818291237331,0.12134767469836331
PUDUCHERRY,493430.9617506,8013692,7528936,15.466666666666669,117583734,60496,158830,1467.285416010498,38.08852231946106,0.06157348719548992
PUNJAB,18917096.362967025,182570867,160563645,24.576957561267182,2988207681,8579140,37635274,1636.7385060399588,22.795476392705417,0.10361508752087498
RAJASTHAN,146855046.9471832,1494116201,1180867801,33.509492223238794,32331655655,48741414,209560908,2163.931803521084,23.258829361437964,0.09828890607631072
SIKKIM,1483084.845875412,11853346,10671985,32.29385403329065,225873458,660413,2497487,1905.5670694165176,26.44310060472787,0.12511951021048504
TAMIL NADU,108571917.24981453,1025800811,923216005,22.18436578171092,22780731826,35954974,81408839,2220.7753768289817,44.16593387359326,0.10584113025215236
TELANGANA,61877109.10152316,917183618,584448064,36.42079916699206,13949381459,16699917,123959184,1520.893001710809,13.47210949694538,0.06746425458018065
